order_id,order_date,order_priority,order_quantity,sales ,unit_price,ship_mode,shipping_cost,province,customer_segment,product_category,product_sub_category,product_container,ship_date
28774,01/01/2016,High,32,192.99,6.03,Regular Air,5,Ontario,Small Business,Office Supplies,Storage & Organization,Small Box,01/02/2016
13729,01/01/2016,Not Specified,9,933.55,103.73,Express Air,37.5,Quebec,Home Office,Office Supplies,Storage & Organization,Large Box,01/03/2016
38215,01/01/2017,Critical,42,809.70,19.28,Regular Air,5.1,Saskachewan,Small Business,Technology,Telephones and Communication,Medium Box,01/02/2017
38215,01/01/2017,Critical,38,3934.35,103.54,Express Air,21.4,Saskachewan,Small Business,Office Supplies,Paper,Small Box,01/03/2017
54145,01/01/2017,Low,34,75.17,2.21,Regular Air,5.7,Ontario,Home Office,Furniture,Office Furnishings,Small Box,01/01/2017
48480,01/01/2017,Critical,32,11881.01,371.28,Delivery Truck,105.9,Manitoba,Corporate,Office Supplies,Storage & Organization,Jumbo Drum,01/04/2017
25860,01/01/2017,Low,23,1378.99,59.96,Regular Air,21.4,Nova Scotia,Consumer,Technology,Telephones and Communication,Small Box,01/10/2017
25860,01/01/2017,Low,9,792.01,88.00,Express Air,5.4,Nova Scotia,Consumer,Office Supplies,Envelopes,Small Box,01/03/2017
24033,01/01/2018,High,50,1313.08,26.26,Delivery Truck,16.8,Manitoba,Consumer,Furniture,Office Furnishings,Jumbo Drum,01/03/2018
10436,01/01/2018,Low,24,148.46,6.19,Regular Air,1.1,Quebec,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,01/08/2018
10144,01/01/2018,Critical,24,6856.88,285.70,Delivery Truck,38.2,British Columbia,Corporate,Furniture,Tables,Jumbo Box,01/01/2018
10144,01/01/2018,Critical,16,5782.01,361.38,Delivery Truck,63,British Columbia,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,01/03/2018
10144,01/01/2018,Critical,1,205.96,205.96,Delivery Truck,32.1,British Columbia,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,01/03/2018
54214,01/01/2019,Medium,38,7838.42,206.27,Express Air,26.2,Alberta,Small Business,Technology,Copiers and Fax,Large Box,01/04/2019
47591,01/01/2019,Critical,27,298.96,11.07,Regular Air,7.4,Yukon,Small Business,Office Supplies,Storage & Organization,Small Box,01/02/2019
29030,01/01/2019,Medium,10,206.06,20.61,Regular Air,4.4,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,01/02/2019
20037,01/10/2016,Low,49,16196.71,330.55,Delivery Truck,15.7,Saskachewan,Corporate,Technology,Office Machines,Jumbo Drum,01/15/2016
55367,01/10/2016,Critical,48,611.15,12.73,Regular Air,2.5,Nova Scotia,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,01/12/2016
28290,01/10/2016,Low,43,1398.86,32.53,Express Air,9.3,Ontario,Home Office,Technology,Computer Peripherals,Small Box,01/14/2016
20037,01/10/2016,Low,35,1080.08,30.86,Regular Air,9.1,Saskachewan,Corporate,Furniture,Office Furnishings,Small Box,01/15/2016
28999,01/10/2016,High,34,1259.93,37.06,Regular Air,2.1,Ontario,Corporate,Technology,Computer Peripherals,Small Pack,01/11/2016
31553,01/10/2016,Critical,32,5250.33,164.07,Regular Air,21.4,British Columbia,Corporate,Office Supplies,Envelopes,Small Box,01/12/2016
55367,01/10/2016,Critical,31,2286.70,73.76,Delivery Truck,50,Nova Scotia,Consumer,Furniture,Bookcases,Jumbo Box,01/11/2016
33988,01/10/2016,Medium,30,176.31,5.88,Regular Air,5.5,Ontario,Consumer,Technology,Computer Peripherals,Small Pack,01/11/2016
14596,01/10/2016,Critical,24,213.06,8.88,Regular Air,1,Ontario,Corporate,Furniture,Office Furnishings,Wrap Bag,01/12/2016
14596,01/10/2016,Critical,19,67.56,3.56,Regular Air,4.2,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,01/11/2016
44391,01/10/2016,Not Specified,16,120.71,7.54,Regular Air,9.8,Alberta,Corporate,Office Supplies,Paper,Small Box,01/11/2016
28290,01/10/2016,Low,3,560.23,186.74,Express Air,21.4,Ontario,Home Office,Office Supplies,Storage & Organization,Small Box,01/12/2016
59270,01/10/2017,High,48,27083.84,564.25,Delivery Truck,17.8,Nova Scotia,Small Business,Technology,Office Machines,Jumbo Box,01/12/2017
56327,01/10/2017,Medium,47,1366.10,29.07,Express Air,9.1,Alberta,Small Business,Furniture,Office Furnishings,Small Box,01/11/2017
59270,01/10/2017,High,47,1708.81,36.36,Regular Air,2.1,Nova Scotia,Small Business,Technology,Computer Peripherals,Small Pack,01/12/2017
56327,01/10/2017,Medium,42,1891.19,45.03,Regular Air,18.7,Alberta,Small Business,Office Supplies,Paper,Small Box,01/11/2017
48487,01/10/2017,Low,27,385.95,14.29,Regular Air,1.6,Quebec,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,01/12/2017
59270,01/10/2017,High,14,2288.33,163.45,Regular Air,21.4,Nova Scotia,Small Business,Office Supplies,Storage & Organization,Small Box,01/11/2017
42567,01/10/2017,Critical,12,2076.14,173.01,Delivery Truck,46.8,British Columbia,Small Business,Furniture,Tables,Jumbo Box,01/12/2017
56327,01/10/2017,Medium,11,2315.55,210.50,Delivery Truck,59.1,Alberta,Small Business,Office Supplies,Appliances,Jumbo Drum,01/12/2017
59270,01/10/2017,High,5,692.58,138.52,Delivery Truck,75.1,Quebec,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,01/10/2017
4134,01/10/2018,Critical,48,6851.63,142.74,Delivery Truck,58.6,Yukon,Small Business,Furniture,Bookcases,Jumbo Box,01/12/2018
46468,01/10/2018,Critical,46,8063.48,175.29,Regular Air,21.4,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,01/11/2018
46468,01/10/2018,Critical,41,1731.59,42.23,Express Air,2.1,Ontario,Home Office,Technology,Computer Peripherals,Small Pack,01/12/2018
21670,01/10/2018,High,24,2102.77,87.62,Regular Air,21.4,Ontario,Home Office,Furniture,Office Furnishings,Small Box,01/11/2018
4134,01/10/2018,Critical,23,810.96,35.26,Regular Air,4.3,Yukon,Small Business,Technology,Computer Peripherals,Small Box,01/10/2018
12773,01/10/2018,Low,21,83.05,3.95,Regular Air,4.2,Prince Edward Island,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,1/15/2018
12773,01/10/2018,Low,19,139.82,7.36,Regular Air,8.4,Prince Edward Island,Corporate,Office Supplies,Paper,Small Box,1/15/2018
12773,01/10/2018,Low,15,72.13,4.81,Regular Air,7.1,Prince Edward Island,Corporate,Furniture,Office Furnishings,Small Box,1/19/2018
12773,01/10/2018,Low,6,18.19,3.03,Regular Air,1.6,Prince Edward Island,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,01/12/2018
46468,01/10/2018,Critical,1,12.70,12.70,Regular Air,5.8,Ontario,Home Office,Office Supplies,Paper,Small Box,01/12/2018
59969,01/10/2019,High,42,468.37,11.15,Regular Air,1.5,Manitoba,Home Office,Office Supplies,Envelopes,Small Box,01/12/2019
44036,01/10/2019,High,40,267.64,6.69,Express Air,1.3,Quebec,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,01/12/2019
22663,01/10/2019,Low,35,10532.13,300.92,Delivery Truck,61,Manitoba,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,01/10/2019
54786,01/10/2019,Not Specified,30,406.90,13.56,Regular Air,4.8,Saskachewan,Home Office,Office Supplies,Storage & Organization,Small Box,01/12/2019
47879,01/10/2019,Critical,19,184.62,9.72,Regular Air,2.3,British Columbia,Corporate,Office Supplies,Paper,Wrap Bag,01/11/2019
59969,01/10/2019,High,16,294.26,18.39,Regular Air,12,Manitoba,Home Office,Office Supplies,Storage & Organization,Small Box,01/11/2019
22663,01/10/2019,Low,15,7693.36,512.89,Delivery Truck,30.1,Manitoba,Corporate,Technology,Office Machines,Jumbo Drum,1/15/2019
51970,01/10/2019,Not Specified,1,183.73,183.73,Delivery Truck,60.1,Northwest Territories,Small Business,Technology,Office Machines,Jumbo Drum,01/12/2019
33797,01/11/2016,Not Specified,44,614.72,13.97,Regular Air,15.4,Nova Scotia,Small Business,Furniture,Office Furnishings,Large Box,01/12/2016
19655,01/11/2016,High,31,1223.49,39.47,Regular Air,2.1,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Pack,01/12/2016
33797,01/11/2016,Not Specified,29,147.84,5.10,Express Air,7.1,Quebec,Small Business,Furniture,Office Furnishings,Small Box,1/13/2016
33797,01/11/2016,Not Specified,20,4848.53,242.43,Delivery Truck,15.7,Nova Scotia,Small Business,Technology,Office Machines,Jumbo Drum,01/11/2016
21830,01/11/2016,Low,19,7481.07,393.74,Delivery Truck,12.9,Saskachewan,Consumer,Technology,Office Machines,Jumbo Box,1/18/2016
33797,01/11/2016,Not Specified,18,232.05,12.89,Regular Air,5.4,Quebec,Small Business,Office Supplies,Paper,Small Box,01/11/2016
33797,01/11/2016,Not Specified,18,281.35,15.63,Regular Air,7.2,Nova Scotia,Small Business,Office Supplies,Appliances,Medium Box,01/12/2016
19494,01/11/2017,High,39,917.33,23.52,Regular Air,9.6,Ontario,Small Business,Furniture,Office Furnishings,Small Pack,1/13/2017
1857,01/11/2017,High,37,213.74,5.78,Regular Air,2.1,Alberta,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,01/12/2017
34948,01/11/2017,Critical,15,1131.05,75.40,Delivery Truck,64.2,Alberta,Home Office,Office Supplies,Appliances,Jumbo Drum,01/11/2017
